"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201305","2013M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.374"
"AJM07","Manufacturing Milk Prices (including VAT)","201306","2013M06","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","201306","2013M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.379"
"AJM07","Manufacturing Milk Prices (including VAT)","201307","2013M07","1","Milk (per litre), actual fat and protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","201307","2013M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.379"
"AJM07","Manufacturing Milk Prices (including VAT)","201308","2013M08","1","Milk (per litre), actual fat and protein","Euro","0.406"
"AJM07","Manufacturing Milk Prices (including VAT)","201308","2013M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.39"
"AJM07","Manufacturing Milk Prices (including VAT)","201309","2013M09","1","Milk (per litre), actual fat and protein","Euro","0.437"
"AJM07","Manufacturing Milk Prices (including VAT)","201309","2013M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.395"
"AJM07","Manufacturing Milk Prices (including VAT)","201310","2013M10","1","Milk (per litre), actual fat and protein","Euro","0.468"
"AJM07","Manufacturing Milk Prices (including VAT)","201310","2013M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.402"
"AJM07","Manufacturing Milk Prices (including VAT)","201311","2013M11","1","Milk (per litre), actual fat and protein","Euro","0.476"
"AJM07","Manufacturing Milk Prices (including VAT)","201311","2013M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.41"
